track_id,name,duration_min,explicit,track_number,album,artist,release_date,album_type,total_tracks,play_count
4IILq5INvyFDuGcE0S6EF5,AKT I: „ICI VARSOVIE”,0.93,False,1,LATARNIE WSZĘDZIE DAWNO ZGASŁY,Taco Hemingway,2025-12-18,album,16,5013497
3ZUQepwP4DaUlUmup5nBgr,PLAC TRZECH KRZYŻY,3.43,False,2,LATARNIE WSZĘDZIE DAWNO ZGASŁY,Taco Hemingway,2025-12-18,album,16,8941575
34EvfmBvF8Aexxx7R8uBkD,LATARNIE WSZĘDZIE DAWNO ZGASŁY,3.53,True,3,LATARNIE WSZĘDZIE DAWNO ZGASŁY,Taco Hemingway,2025-12-18,album,16,8571955
5ZzqEM2c3z0EV1fXjOdIAY,PUSTOSZEJĄ SALE KINOWE,2.87,False,4,LATARNIE WSZĘDZIE DAWNO ZGASŁY,Taco Hemingway,2025-12-18,album,16,8844307
7M3MMseAOMKabh7jxScy4b,AKT II: „MIASTO IDZIE SPAĆ”,0.68,False,5,LATARNIE WSZĘDZIE DAWNO ZGASŁY,Taco Hemingway,2025-12-18,album,16,5081352
32haRInUgsVtp0ftdH05eF,TRAMWAJE,2.79,False,6,LATARNIE WSZĘDZIE DAWNO ZGASŁY,Taco Hemingway,2025-12-18,album,16,12300968
7Irx82ZzAsYeVnkLKB8CGC,ODTRUTKA,3.82,False,7,LATARNIE WSZĘDZIE DAWNO ZGASŁY,Taco Hemingway,2025-12-18,album,16,7254329
5BuBJpjdOByZGbHWcTy2wj,TRZYKROPKI,4.07,False,8,LATARNIE WSZĘDZIE DAWNO ZGASŁY,Taco Hemingway,2025-12-18,album,16,7760776
3lQkAAih6dNPxQP58C9h25,AKT III: „SŁOWIAŃSKI NIEPOKÓJ”,1.09,False,9,LATARNIE WSZĘDZIE DAWNO ZGASŁY,Taco Hemingway,2025-12-18,album,16,4437626
2LBD44rqa3ZTodKecAayaa,FOTOMODELKI,3.38,False,10,LATARNIE WSZĘDZIE DAWNO ZGASŁY,Taco Hemingway,2025-12-18,album,16,6324961
6F9Xu5kvOMQNCPFkoa2yST,ZAKOCHAŁEM SIĘ POD APTEKĄ,4.45,False,11,LATARNIE WSZĘDZIE DAWNO ZGASŁY,Taco Hemingway,2025-12-18,album,16,22719025
38Jen8MKWIwtRDOhbxFCzG,BEZ STRESU,4.28,True,12,LATARNIE WSZĘDZIE DAWNO ZGASŁY,Taco Hemingway,2025-12-18,album,16,13397229
68et5skJyH8vZSFkptwz6T,AKT IV: „ROZMIAR KLĘSKI”,0.8,False,13,LATARNIE WSZĘDZIE DAWNO ZGASŁY,Taco Hemingway,2025-12-18,album,16,4304415
46A0vSoknm8uAX8h313zuo,FRASCATI,2.96,False,14,LATARNIE WSZĘDZIE DAWNO ZGASŁY,Taco Hemingway,2025-12-18,album,16,18928920
2hSt1qI3QToqpaylO4NHBd,RATUNKU!,3.74,False,15,LATARNIE WSZĘDZIE DAWNO ZGASŁY,Taco Hemingway,2025-12-18,album,16,7800091
3Bx4xlqPMe7LulVsv0GJIx,Szlugi i Kalafiory - 2024 Remaster,3.1,True,1,Trójkąt Warszawski (2024 Remaster),Taco Hemingway,2024-12-18,album,7,1405674
4HjkyiOE2r3elmQJLyYxAi,"Marsz, Marsz - 2024 Remaster",3.84,True,2,Trójkąt Warszawski (2024 Remaster),Taco Hemingway,2024-12-18,album,7,1488540
05nIZ1FOYcGLtwYIpkiBa8,Wszystko Jedno - 2024 Remaster,5.17,True,3,Trójkąt Warszawski (2024 Remaster),Taco Hemingway,2024-12-18,album,7,1442605
0Ftnbvd1S1EJozTFsnK1y6,Trójkąt - 2024 Remaster,5.45,True,4,Trójkąt Warszawski (2024 Remaster),Taco Hemingway,2024-12-18,album,7,1107778
3QL81RJ1NoFdaU9vacokX4,(Przerywnik) - 2024 Remaster,2.2,True,5,Trójkąt Warszawski (2024 Remaster),Taco Hemingway,2024-12-18,album,7,833333
0jsRCiYEkNhDUcFEAkWU3B,Mięso - 2024 Remaster,4.29,True,6,Trójkąt Warszawski (2024 Remaster),Taco Hemingway,2024-12-18,album,7,1072247
2T31SlrCuTGPBUWEyoltpq,900729 - 2024 Remaster,5.07,True,7,Trójkąt Warszawski (2024 Remaster),Taco Hemingway,2024-12-18,album,7,989695
07BUeITQt6uTZoP20RmKy6,#1 - WIELKOMIEJSKA BEZSENNOŚĆ,1.9,False,1,1-800-OŚWIECENIE,Taco Hemingway,2023-09-21,album,27,5866336
4voI3idZUVyfVI5Vb2zfAg,1-800-OŚWIECENIE,2.85,False,2,1-800-OŚWIECENIE,Taco Hemingway,2023-09-21,album,27,16942798
7qof6dO1MpeaIJZ8Rrlb2U,#2 - GRZĘZNĄĆ W CISZY,0.36,False,3,1-800-OŚWIECENIE,Taco Hemingway,2023-09-21,album,27,12441
3kjMeY6ZgOZYAFRiPHMqmS,Cichosza,3.24,True,4,1-800-OŚWIECENIE,Taco Hemingway,2023-09-21,album,27,23921932
5Jhl2xxtIk1n9xINPT5UDl,#3 - TUTTO PASSA,0.86,False,5,1-800-OŚWIECENIE,Taco Hemingway,2023-09-21,album,27,6224216
6ggmioMS1gYK0I5AAdv2NH,Gelato,3.26,False,6,1-800-OŚWIECENIE,Taco Hemingway,2023-09-21,album,27,35481384
0wAIaoWcYb95PfNOEhL4ci,TU RADIO MARMUR #1,0.4,True,7,1-800-OŚWIECENIE,Taco Hemingway,2023-09-21,album,27,14375
13G5bpGzFMaqx2mYPvbjHC,Może To Coś Zmieni?,3.13,True,8,1-800-OŚWIECENIE,Taco Hemingway,2023-09-21,album,27,12411897
7vAIFnO5Na6SjXow8z6rSx,Pakiet Platinium,3.26,False,9,1-800-OŚWIECENIE,Taco Hemingway,2023-09-21,album,27,20431502
5k8mKI1zDQ6Q3Ngs0hpEww,#4 - NESESER,0.93,False,10,1-800-OŚWIECENIE,Taco Hemingway,2023-09-21,album,27,5451547
6Vzl09EVLdB1MTZdDwm2Zd,Makarena Freestyle,3.48,False,11,1-800-OŚWIECENIE,Taco Hemingway,2023-09-21,album,27,24808278
1t6T2lLNdthNUINHbP0wBW,#5 - GŁOSÓWKI DO REDAKCJI,1.06,False,12,1-800-OŚWIECENIE,Taco Hemingway,2023-09-21,album,27,4870684
5CTNmaXOY1nSnIUsxCpiyU,Mix Sałat,2.88,True,13,1-800-OŚWIECENIE,Taco Hemingway,2023-09-21,album,27,21400233
1CJEjyiyWJOv3fPWKijJbF,#6 - DOBRY JAK DOBRY,0.76,False,14,1-800-OŚWIECENIE,Taco Hemingway,2023-09-21,album,27,4950984
5kXco3VQGGmTwHpKILv1om,Codziennie,2.21,False,15,1-800-OŚWIECENIE,Taco Hemingway,2023-09-21,album,27,8690037
1DNla6mm9xLwmIB6RLZa0K,Luxembourg,3.28,False,1,Europa,Taco Hemingway,2020-09-04,album,13,13935885
3CpbhZh64fYNUM7Lf22Zhj,Grand Prix,3.08,False,2,Europa,Taco Hemingway,2020-09-04,album,13,9400398
2saRoYhY53uxjpyVp8ERBM,Europa,3.3,False,3,Europa,Taco Hemingway,2020-09-04,album,13,36247066
0yyXIzijkcITIPJCMBdIEl,Pireneje,3.59,True,4,Europa,Taco Hemingway,2020-09-04,album,13,7848498
5biysRxCAWnPP2Z3yCHRlj,Nie Ufam Sobie Sam,2.59,True,5,Europa,Taco Hemingway,2020-09-04,album,13,11065514
1OY4I0bYixsvhgdgrhGSDy,Big Pharma,3.45,False,6,Europa,Taco Hemingway,2020-09-04,album,13,6856909
1Yl4E95OeBklx1hmboGRKB,Sztylet,2.93,False,7,Europa,Taco Hemingway,2020-09-04,album,13,7320776
4K9I0Ei0p8qiDXmMvTXBLR,Ortalion,3.87,False,8,Europa,Taco Hemingway,2020-09-04,album,13,8821863
7JsoeP7nunZAmzbpFyI9Tt,WWA NIE Berlin,3.68,False,9,Europa,Taco Hemingway,2020-09-04,album,13,9504752
0tCrHaObnWzqUFmVKBFPAC,Pieniądz i Terror,3.55,False,10,Europa,Taco Hemingway,2020-09-04,album,13,9115771
5np3fdKXcpudx30QVyTjKK,Na Paryskie Getto Pada Deszcz,3.71,False,11,Europa,Taco Hemingway,2020-09-04,album,13,8864350
42PfUaG2brZtpfccL3ZOc7,Michael Essien Birthday Party,4.29,False,12,Europa,Taco Hemingway,2020-09-04,album,13,17155955
4boI1Q55pDV8m6W7KeRAfr,Toskania Outro,5.13,False,13,Europa,Taco Hemingway,2020-09-04,album,13,9532738
7L9xaxLYne6aFEEd4IMfdh,Łańcuch I: Kiosk,2.37,False,1,Jarmark,Taco Hemingway,2020-08-28,album,12,8012092
5JV0OCtrha1o9bXHD6XObX,"Panie, to Wyście!",3.75,True,2,Jarmark,Taco Hemingway,2020-08-28,album,12,10440403
2CXvbwZNckyqjtvhi01aQV,Polskie Tango,3.05,True,3,Jarmark,Taco Hemingway,2020-08-28,album,12,63599099
2aPROOB5HfiV3bghJZvu8a,Influenza,4.48,True,4,Jarmark,Taco Hemingway,2020-08-28,album,12,15252849
2Fl5mNP1ogTeQr7BHzyMrM,Nie Mam Czasu,3.38,True,5,Jarmark,Taco Hemingway,2020-08-28,album,12,15104251
5ZEJTkmeLGoXuTnV4lDbjj,Łańcuch II: Korek,2.38,False,6,Jarmark,Taco Hemingway,2020-08-28,album,12,6586688
17cJbuWe07GLJKrb0TsKn2,Dwuzłotówki Dancing,4.74,True,7,Jarmark,Taco Hemingway,2020-08-28,album,12,8332570
26WqovRuyqEWwLT4Ps01gH,POL Smoke,3.56,False,8,Jarmark,Taco Hemingway,2020-08-28,album,12,11526724
2INdxMWFLjZCl7rGKaIF2B,W.N.P,3.38,True,9,Jarmark,Taco Hemingway,2020-08-28,album,12,13538018
5PcgZ07vRjdNLiZMXkgjdQ,1990s Utopia,4.01,False,10,Jarmark,Taco Hemingway,2020-08-28,album,12,13567480
3EMR20OfWs6NTvbs0jO0Hm,Szczękościsk,3.98,False,11,Jarmark,Taco Hemingway,2020-08-28,album,12,5831406
77TfIL34O0YnmKpimIKvCO,Łańcuch III: Korpo,2.43,False,12,Jarmark,Taco Hemingway,2020-08-28,album,12,5168345
48hCWygoUBtX88z1l78I3x,CZŁOWIEK Z DZIURĄ ZAMIAST KRTANI,4.14,False,1,"POCZTÓWKA Z WWA, LATO '19",Taco Hemingway,2019-07-24,album,11,37823031
2FnII5ojUj6qGf4dRwplGB,ANTYSMOGOWA MASKA W MOIM CARRY-ON BAGGAGE,4.05,False,2,"POCZTÓWKA Z WWA, LATO '19",Taco Hemingway,2019-07-24,album,11,20006070
6U2z2MIl54KykmUezVFMOY,LECI NOWY FUTURE,3.65,False,3,"POCZTÓWKA Z WWA, LATO '19",Taco Hemingway,2019-07-24,album,11,48624399
2M4HAgYKX89zbXv19g3Pmq,W PIĄTKI LEŻĘ W WANNIE,3.67,False,4,"POCZTÓWKA Z WWA, LATO '19",Taco Hemingway,2019-07-24,album,11,70718900
1QX3qzuOXc8PbhRgmG2sjm,WWA VHS,4.69,False,5,"POCZTÓWKA Z WWA, LATO '19",Taco Hemingway,2019-07-24,album,11,12147095
4KQgzycqqYnbPIHFSFtxvQ,WYTRAWNE (Z NUTĄ DESPERACJI),3.19,False,6,"POCZTÓWKA Z WWA, LATO '19",Taco Hemingway,2019-07-24,album,11,11357864
6KLDsYukS68dvq8Ciu6MXd,WUJEK DOBRA RADA,2.9,False,7,"POCZTÓWKA Z WWA, LATO '19",Taco Hemingway,2019-07-24,album,11,13153963
6H4vIvfLuDRZP0uJMdlAeW,TIJUANA,3.27,False,8,"POCZTÓWKA Z WWA, LATO '19",Taco Hemingway,2019-07-24,album,11,13341694
4wxGEwLKsaAQoX7xUT2cyI,SANATORIUM,4.57,False,9,"POCZTÓWKA Z WWA, LATO '19",Taco Hemingway,2019-07-24,album,11,24995690
7bVUaxAfP121IuDaapS6kW,ALERT RCB,3.32,False,10,"POCZTÓWKA Z WWA, LATO '19",Taco Hemingway,2019-07-24,album,11,20858068
0wqrUi9Pb4CFzYGOeM3Nau,KABRIOLETY,5.47,False,11,"POCZTÓWKA Z WWA, LATO '19",Taco Hemingway,2019-07-24,album,11,23046243
1oELgAEZiBwd4ir5Z7DHrR,Café Belga,4.16,True,1,Café Belga,Taco Hemingway,2018-07-13,album,11,17079361
0dGSyJEtxcQQMllxqXT51j,ZTM,4.67,True,2,Café Belga,Taco Hemingway,2018-07-13,album,11,22147177
32jO1SlgcahMuzyYCb5HHh,Wszystko na niby,4.3,True,3,Café Belga,Taco Hemingway,2018-07-13,album,11,15130391
1Et7xION4jRByhPZnRS1UE,Reżyseria: Kubrick,3.53,True,4,Café Belga,Taco Hemingway,2018-07-13,album,11,10338962
70OOT6oKBYJeCy7EKxwCms,2031,4.99,True,5,Café Belga,Taco Hemingway,2018-07-13,album,11,13237681
0jQLsM75kFEYBGSBEqvhpZ,Fiji,4.04,True,6,Café Belga,Taco Hemingway,2018-07-13,album,11,50082560
4DLexqEXYJLij17k3yz1ih,Abonent jest czasowo niedostępny,4.57,True,7,Café Belga,Taco Hemingway,2018-07-13,album,11,9043180
40aSYhWWsXLkpPHNxPjsOR,Motorola,3.19,True,8,Café Belga,Taco Hemingway,2018-07-13,album,11,7050674
2Z6qYXUP8vZIjNH8WhfKRK,Modigliani,3.83,True,9,Café Belga,Taco Hemingway,2018-07-13,album,11,9894297
2jso2VXQB7nUS7PGDTTm9u,Adieu,4.78,True,10,Café Belga,Taco Hemingway,2018-07-13,album,11,11906465
26q3JNCE6h3htYNsXxiO4x,4 AM In Girona,3.14,True,11,Café Belga,Taco Hemingway,2018-07-13,album,11,8997753
1FxBLvEpmsseHMVzuR0eUl,Leonardo,2.92,False,1,"0,25 mg",Taco Hemingway,2018-04-23,album,11,10535692
45IFdSZOCsbSNPBLPqeLnJ,TLC,3.31,False,2,"0,25 mg",Taco Hemingway,2018-04-23,album,11,9750115
10Js7G9JSJg5vatCPk348S,Benevento,3.04,False,3,"0,25 mg",Taco Hemingway,2018-04-23,album,11,6397660
6CAWyHRmL1Z5cP5cGVOdii,C3PO,3.31,False,4,"0,25 mg",Taco Hemingway,2018-04-23,album,11,5195244
0LiUhXOYKt5HIBUndehbGe,8 kobiet - Remix,4.51,False,5,"0,25 mg",Taco Hemingway,2018-04-23,album,11,74986829
7vmpQaY1BDxulCeb2JU0HR,VISA - Remix,3.73,False,6,"0,25 mg",Taco Hemingway,2018-04-23,album,11,6041604
